id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
123,1,0.0,0.114184,48,48,3.0,-1,-1,0,1,76,1,76,0,0
1900,1,0.0,160.367579,7536,0,1.0,-1,-1,0,24,8208,0,0,0,0
123,1,0.0,0.016986,48,48,3.0,-1,-1,0,1,76,1,76,0,0
443,0,0.0,0.003497,0,0,3.0,-1,-1,0,5,212,3,144,0,0
53,1,4.0,0.036724,34,311,3.0,-1,-1,0,1,62,1,339,0,0
1900,1,0.0,384.518261,15072,0,1.0,-1,-1,0,48,16416,0,0,0,0
123,1,0.0,0.270332,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.111429,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.114433,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.016984,48,48,3.0,-1,-1,0,1,76,1,76,0,0
443,0,0.0,0.003497,0,0,3.0,-1,-1,0,4,172,2,92,0,0
53,1,4.0,0.040227,34,311,3.0,-1,-1,0,1,62,1,339,0,0
123,1,0.0,0.270346,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.109684,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.114426,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.01698,48,48,3.0,-1,-1,0,1,76,1,76,0,0
1900,1,0.0,1633.04433,60288,0,1.0,-1,-1,0,192,65664,0,0,0,0
443,0,0.0,0.003498,0,0,3.0,-1,-1,0,4,172,2,92,0,0
53,1,4.0,0.183145,34,311,3.0,-1,-1,0,1,62,1,339,0,0
123,1,0.0,0.272344,48,48,3.0,-1,-1,0,1,76,1,76,0,0
123,1,0.0,0.109436,48,48,3.0,-1,-1,0,1,76,1,76,0,0
1900,1,0.0,766.04856,28260,0,1.0,-1,-1,0,90,30780,0,0,0,0
1900,1,0.0,50.851218,3768,0,1.0,-1,-1,0,12,4104,0,0,0,0
80,0,1.0,0.088446,1847,1539,3.0,-1,-1,0,7,2139,7,1823,0,0
80,0,1.0,0.109187,1847,791,3.0,-1,-1,0,6,2099,6,1035,0,0
53,1,4.0,0.050455,37,179,3.0,-1,-1,0,1,65,1,207,0,0
53,1,4.0,0.003998,37,442,3.0,-1,-1,0,1,65,1,470,0,0
53,1,4.0,0.000499,37,100,3.0,-1,-1,0,1,65,1,128,0,0
53,1,4.0,0.0005,37,132,3.0,-1,-1,0,1,65,1,160,0,0
443,0,0.0,0.003499,0,0,3.0,-1,-1,0,4,172,3,132,0,0
53,1,4.0,0.04621,34,297,3.0,-1,-1,0,1,62,1,325,0,0
