id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
67,1,2.0,8.322388,600,0,1.0,-1,-1,0,2,656,0,0,0,0
5353,1,4.0,-1,-1,-1,1.0,-1,-1,0,1,391,0,0,0,0
5353,1,4.0,-1,-1,-1,1.0,-1,-1,0,1,411,0,0,0,0
5353,1,4.0,-1,-1,-1,1.0,-1,-1,0,1,391,0,0,0,0
67,1,2.0,60.555587,3000,0,1.0,-1,-1,0,10,3280,0,0,0,0
67,1,2.0,58.101145,3000,0,1.0,-1,-1,0,10,3280,0,0,0,0
5353,1,4.0,7.005272,804,0,1.0,-1,-1,0,4,916,0,0,0,0
5353,1,4.0,7.005263,804,0,1.0,-1,-1,0,4,916,0,0,0,0
5353,1,4.0,7.005255,804,0,1.0,-1,-1,0,4,996,0,0,0,0
67,1,2.0,59.007533,3000,0,1.0,-1,-1,0,10,3280,0,0,0,0
67,1,2.0,60.591687,3000,0,1.0,-1,-1,0,10,3280,0,0,0,0
67,1,2.0,61.018114,3000,0,1.0,-1,-1,0,10,3280,0,0,0,0
80,0,1.0,0.356214,135,238,3.0,-1,-1,0,4,315,4,406,0,0
80,0,0.0,0.332740,0,0,3.0,-1,-1,0,4,216,2,112,0,0
80,0,0.0,0.300101,0,0,3.0,-1,-1,0,4,216,2,112,0,0
80,0,0.0,0.310657,0,0,3.0,-1,-1,0,4,216,2,112,0,0
53,1,4.0,0.011518,43,111,3.0,-1,-1,0,1,71,1,139,0,0
53,1,4.0,0.015621,40,56,3.0,-1,-1,0,1,68,1,84,0,0
53,1,4.0,0.015581,40,104,3.0,-1,-1,0,1,68,1,132,0,0
443,0,,0.273075,684,72877,9.0,-1,-1,0,54,3068,56,75797,0,0
443,0,,2.843592,2651,3769,3.0,-1,-1,0,14,3231,10,4177,0,0
53,1,4.0,0.012246,33,49,3.0,-1,-1,0,1,61,1,77,0,0
53,1,4.0,0.189103,37,53,3.0,-1,-1,0,1,65,1,81,0,0
53,1,4.0,0.013419,36,68,3.0,-1,-1,0,1,64,1,96,0,0
53,1,4.0,0.016521,41,57,3.0,-1,-1,0,1,69,1,85,0,0
53,1,4.0,0.011252,33,49,3.0,-1,-1,0,1,61,1,77,0,0
53,1,4.0,0.013156,33,49,3.0,-1,-1,0,1,61,1,77,0,0
53,1,4.0,0.013290,40,56,3.0,-1,-1,0,1,68,1,84,0,0
53,1,4.0,0.118298,37,53,3.0,-1,-1,0,1,65,1,81,0,0
53,1,4.0,0.049276,40,56,3.0,-1,-1,0,1,68,1,84,0,0
53,1,4.0,0.010914,48,64,3.0,-1,-1,0,1,76,1,92,0,0
53,1,4.0,0.012875,44,82,3.0,-1,-1,0,1,72,1,110,0,0
53,1,4.0,0.010121,40,56,3.0,-1,-1,0,1,68,1,84,0,0
53,1,4.0,0.024474,47,111,3.0,-1,-1,0,1,75,1,139,0,0
53,1,4.0,0.011901,37,77,3.0,-1,-1,0,1,65,1,105,0,0
80,0,1.0,0.365520,157,371,3.0,-1,-1,0,4,337,4,539,0,0
53,1,4.0,0.011024,46,62,3.0,-1,-1,0,1,74,1,90,0,0
53,1,4.0,0.000775,40,56,3.0,-1,-1,0,1,68,1,84,0,0
53,1,4.0,0.011530,32,48,3.0,-1,-1,0,1,60,1,76,0,0
443,0,,2.056099,2241,5477,3.0,-1,-1,0,16,2901,13,6005,0,0
443,0,,19.529914,3536,5516,3.0,-1,-1,0,26,4644,22,7435,0,0
